count_eventos,recencia,duracao,frequencia
8287,15,81,3
5793,7,76,13
4296,68,10,10
3668,0,93,36
3403,41,43,12
2885,56,21,11
2843,36,60,16
2257,40,28,18
2177,0,78,40
2093,69,1,2
2030,68,13,14
1986,64,32,20
1953,28,69,16
1943,57,18,11
1911,41,55,21
1842,36,60,25
1839,23,56,25
1711,34,59,16
1630,0,90,33
1606,0,90,26
1601,47,22,15
1590,32,67,43
1567,0,77,13
1558,29,56,11
1533,14,55,11
1526,41,38,15
1507,27,16,7
1480,78,21,14
1462,0,89,56
1455,68,16,9
1447,12,64,10
1429,31,0,2
1413,9,74,14
1355,8,84,12
1327,40,59,4
1324,40,51,12
1297,43,55,36
1272,72,12,7
1272,31,42,5
1255,49,43,29
1239,9,91,42
1215,16,68,24
1210,26,71,26
1179,19,55,10
1169,22,1,3
1133,14,82,9
1118,35,36,20
1117,1,97,41
1108,27,56,14
1107,14,71,15
1094,2,91,32
1072,54,44,20
1069,2,95,34
1048,20,69,25
1022,56,13,10
1020,1,88,33
1008,55,23,10
1006,8,82,29
1003,19,66,37
998,15,62,10
990,1,91,57
980,20,56,24
963,34,37,10
962,14,70,33
962,33,64,47
957,69,20,7
947,57,14,7
944,6,91,55
932,16,66,33
920,58,16,5
917,36,49,23
914,13,50,12
912,0,84,36
911,35,63,6
909,29,67,30
907,0,83,31
907,0,93,36
903,37,35,11
899,33,58,23
880,8,92,63
876,14,71,15
876,12,73,21
865,22,40,11
849,65,14,10
843,1,77,15
842,1,95,35
826,68,11,4
822,37,39,15
820,76,7,6
819,1,96,6
818,72,19,13
817,62,24,15
813,2,67,19
810,1,84,38
799,30,35,11
797,26,59,24
793,5,40,8
791,2,48,19
790,0,83,17
787,0,77,48
780,14,71,9
770,0,43,24
763,2,81,21
763,2,89,15
759,43,55,29
754,28,35,18
754,72,9,6
753,12,72,34
752,32,50,10
750,15,77,15
749,46,18,13
749,0,77,14
747,44,46,14
739,43,27,7
729,0,84,44
726,56,42,18
714,55,15,6
709,11,54,6
708,19,49,23
707,6,65,28
706,28,50,22
705,0,72,11
694,21,57,13
691,1,74,40
690,68,2,3
688,43,29,8
687,36,64,14
686,6,73,24
674,1,71,30
672,8,73,10
659,0,68,22
658,14,84,18
653,28,43,20
643,68,0,2
638,56,23,12
638,49,6,4
636,0,65,32
629,20,67,5
629,1,94,2
626,57,39,7
623,9,60,15
620,61,6,5
618,63,1,4
616,5,93,43
